Date,Hanimaadhoo,Hulhule,Kadhdhoo,Kaadedhdhoo,Gan
1991-01-01,31.007996,32.50769,34.902496,34.24893,33.412964
1991-01-02,34.430298,33.84375,31.12503,30.972473,31.662445
1991-01-03,34.036224,32.464783,30.925781,29.974274,30.659637
1991-01-04,31.654266,34.129578,32.425323,31.131622,30.938477
1991-01-05,29.801422,30.756805,33.21405,32.567932,31.444672
1991-01-06,31.8078,30.15155,31.505188,31.630981,30.442657
1991-01-07,30.505737,30.522705,31.305054,32.003845,32.56195
1991-01-08,30.382965,29.533173,30.422485,32.89267,32.503967
1991-01-09,32.304565,30.47348,30.811401,32.82022,32.082794
1991-01-10,31.65451,33.450287,31.992401,33.23651,31.427124
1991-01-11,32.51413,32.23346,31.211243,31.820984,30.652405
1991-01-12,29.907867,32.681976,31.779968,31.7359,30.25113
1991-01-13,29.811676,30.10968,30.021149,30.50174,30.358887
1991-01-14,30.532104,30.164093,30.289764,30.805084,31.775696
1991-01-15,30.870453,29.060669,29.77884,30.579071,31.423828
1991-01-16,31.182068,29.386719,32.215363,30.455963,30.28366
1991-01-17,27.61316,26.6781,28.70935,30.523376,30.214264
1991-01-18,28.963318,27.602112,33.384064,32.947968,33.800842
1991-01-19,29.138184,29.99759,32.278503,32.488525,30.79364
1991-01-20,29.503357,30.899689,34.12497,34.41919,33.928864
1991-01-21,29.723175,29.953247,32.429657,34.15439,34.40213
1991-01-22,32.152557,30.469727,33.75647,33.177887,31.641998
1991-01-23,33.30078,29.406464,28.449738,31.361511,31.210846
1991-01-24,32.5401,29.538391,30.116333,30.69806,28.951935
1991-01-25,31.347717,28.69101,29.544739,30.720947,33.075897
1991-01-26,29.376862,28.255188,29.248566,30.520233,30.258698
1991-01-27,29.856537,28.79367,28.651154,30.023743,32.1597
1991-01-28,32.09497,28.449066,28.588501,29.83725,30.976501
1991-01-29,33.066956,30.253784,29.65747,31.317719,31.65689
1991-01-30,31.7984,29.4823,29.601929,30.04013,30.528046
1991-01-31,28.899963,28.846313,29.609558,30.136017,30.524841
1991-02-01,31.04248,30.484283,33.280457,33.08972,34.348114
1991-02-02,32.938446,31.850006,32.306458,35.36023,34.900116
1991-02-03,32.147156,31.47229,30.976257,33.00284,33.926758
1991-02-04,32.117706,31.640228,30.30957,31.062866,33.753418
1991-02-05,30.66922,31.847443,30.539398,30.989105,30.69461
1991-02-06,30.442688,29.464203,29.784668,30.609741,30.156952
1991-02-07,31.041992,29.222107,30.259491,31.369293,31.78479
1991-02-08,31.293335,28.9198,29.954315,30.869507,32.082794
1991-02-09,30.016327,28.955048,29.698975,29.746765,29.946716
1991-02-10,32.12506,30.18457,31.874939,32.2554,34.288513
1991-02-11,32.66165,29.175049,31.792755,32.0412,31.868195
1991-02-12,29.59253,29.689148,30.086792,30.144775,30.971436
1991-02-13,29.685791,29.859406,30.02768,30.396027,30.630493
1991-02-14,29.580566,28.593048,28.837402,29.174011,30.304138
1991-02-15,29.373749,30.166656,30.53479,32.24002,32.10919
1991-02-16,29.740631,29.71222,31.328766,33.27365,34.145386
1991-02-17,29.417206,28.461884,29.635162,30.684784,32.29117
1991-02-18,29.827026,29.766754,32.43042,32.937897,33.23352
1991-02-19,30.14444,29.701447,30.05249,30.376526,30.119537
1991-02-20,30.370117,29.400055,29.465637,30.523285,31.631958
1991-02-21,29.260803,29.788086,30.430603,31.002563,31.658325
1991-02-22,30.062073,30.632324,30.977692,31.724579,32.79315
1991-02-23,30.133148,30.780457,31.433502,30.897705,31.167053
1991-02-24,31.17511,30.789764,31.555511,32.2417,32.21631
1991-02-25,31.202515,30.409393,31.42212,31.789673,32.308502
1991-02-26,31.49707,32.82138,32.348724,33.79648,35.17096
1991-02-27,33.070312,31.623016,33.19879,33.638702,34.571716
1991-02-28,33.15445,34.463043,34.952606,35.48877,34.292145
1991-03-01,30.92517,32.038727,30.938934,34.44635,34.18506
1991-03-02,32.3584,31.141327,31.678375,32.544342,34.568207
1991-03-03,30.272339,29.252258,29.682953,32.982788,33.21222
1991-03-04,31.219452,32.334137,31.673553,31.749237,32.837677
1991-03-05,32.876617,31.181274,30.413269,30.797943,31.588287
1991-03-06,34.855957,34.439972,32.513794,33.325592,31.672424
1991-03-07,32.336487,35.206787,34.065155,34.552856,34.517365
1991-03-08,31.242798,31.677124,32.842834,33.446777,31.40689
1991-03-09,32.815857,33.651154,34.087646,32.532562,30.79895
1991-03-10,33.067383,34.69281,32.479248,31.58554,32.082733
1991-03-11,34.652985,34.41324,34.62039,34.27658,33.809906
1991-03-12,35.685974,34.5271,34.782867,35.483917,35.65039
1991-03-13,35.66916,35.02951,35.630157,35.66034,35.486877
1991-03-14,35.62628,34.805664,35.68268,35.950195,35.314117
1991-03-15,36.324097,34.42447,35.43802,34.977814,33.569702
1991-03-16,34.97946,35.28479,35.226562,34.85254,34.029877
1991-03-17,32.907288,34.047485,32.789276,32.85019,33.526154
1991-03-18,31.864624,31.165558,33.91812,33.34546,33.149567
1991-03-19,34.211945,35.819153,35.245514,34.369507,34.150574
1991-03-20,34.18329,34.492096,33.776062,33.033783,33.557007
1991-03-21,33.26184,32.478912,31.526184,30.070343,31.144989
1991-03-22,31.185028,32.10562,32.435608,32.046173,33.097137
1991-03-23,31.298096,31.036346,31.772614,31.976501,31.44043
1991-03-24,32.1929,32.421997,31.849243,31.002167,32.004883
1991-03-25,31.814697,31.595856,31.74878,31.807465,31.745361
1991-03-26,35.576996,33.8732,32.01657,32.21469,31.654877
1991-03-27,34.1745,34.731384,34.01053,33.04242,32.496094
1991-03-28,32.00711,34.22879,35.50168,35.54538,33.583527
1991-03-29,30.131348,32.084198,32.95334,35.8403,35.68982
1991-03-30,30.983887,32.43521,34.408905,35.332,36.137817
1991-03-31,35.239532,35.09555,35.08142,34.108185,36.00125
1991-04-01,34.968903,35.5961,35.2847,35.86905,36.057983
1991-04-02,34.03665,35.971344,36.073822,36.3089,36.556366
1991-04-03,34.37784,36.47867,35.571045,34.689148,33.010345
1991-04-04,35.657135,35.051025,35.795624,36.273773,36.45923
1991-04-05,34.953735,33.91458,35.555695,35.674957,36.30002
1991-04-06,35.637817,35.2583,33.717834,34.535187,34.65857
1991-04-07,35.661224,36.045868,34.305145,35.0455,35.814728
1991-04-08,35.232544,35.35498,34.880615,33.37439,32.480133
1991-04-09,34.131042,34.875977,35.097992,32.498474,32.025726
1991-04-10,33.832214,34.340515,33.197906,33.0412,32.687164
1991-04-11,32.59555,33.746094,33.91223,34.123688,32.8974
1991-04-12,32.931732,32.934265,31.910126,33.62137,31.177643
1991-04-13,33.076843,33.461334,33.079254,34.091522,35.32251
1991-04-14,36.127197,35.33545,34.155914,32.73639,33.32242
1991-04-15,36.818146,34.7529,34.281464,30.829712,32.611572
1991-04-16,34.444977,35.906555,32.919464,33.226288,32.544647
1991-04-17,36.976807,36.58487,34.758636,33.045105,31.217834
1991-04-18,35.760162,35.056396,33.422638,31.569,31.351105
1991-04-19,34.171875,32.556854,28.181366,27.115997,28.40152
1991-04-20,33.90216,32.16449,31.768127,31.625244,31.900085
1991-04-21,33.85321,32.066345,31.97525,32.410797,32.325104
1991-04-22,34.040497,32.940063,33.874695,33.71396,34.73575
1991-04-23,33.755768,32.60309,33.053223,34.58133,35.24887
1991-04-24,34.500397,31.981018,30.787811,31.58731,32.48828
1991-04-25,32.55316,31.125336,31.10144,31.790222,31.991089
1991-04-26,32.222687,32.434692,32.55835,33.07135,32.616608
1991-04-27,35.2099,33.5679,32.99579,32.637085,33.89148
1991-04-28,34.784576,33.15735,32.77768,32.80542,34.30133
1991-04-29,34.032837,33.988525,32.74774,33.364166,33.333984
1991-04-30,34.32733,33.19409,33.73285,33.384674,33.113495
1991-05-01,35.14691,34.5726,34.973145,35.561493,36.053772
1991-05-02,34.493134,33.42929,34.403015,35.28708,36.32596
1991-05-03,33.637177,32.17563,33.423218,33.292206,35.618866
1991-05-04,33.92859,33.568817,32.539825,33.62726,34.123413
1991-05-05,33.58304,31.572174,31.977417,33.082153,32.567963
1991-05-06,35.298523,33.7912,34.77829,36.043884,36.424988
1991-05-07,36.078156,34.368713,36.542053,35.881744,36.141724
1991-05-08,36.916565,34.671936,36.698578,35.335663,34.225586
1991-05-09,35.406372,35.511963,36.62097,35.990692,35.680878
1991-05-10,35.78235,34.598694,35.37793,37.12268,34.762726
1991-05-11,35.73111,33.52603,34.703583,35.411835,34.89566
1991-05-12,35.55844,33.06009,33.858704,35.125122,34.45291
1991-05-13,35.856415,33.717346,33.949768,33.761597,34.79889
1991-05-14,35.21295,35.77539,34.406494,36.718872,35.902924
1991-05-15,35.56775,35.902405,34.203857,34.403534,34.22641
1991-05-16,35.714905,33.838776,33.408997,33.14395,33.518677
1991-05-17,31.67392,28.808258,34.220215,33.06012,33.350403
1991-05-18,34.331604,35.817688,34.10788,35.321503,36.21512
1991-05-19,33.587646,34.439514,34.869537,35.14505,35.61859
1991-05-20,35.158447,34.50952,35.761047,35.79956,34.110535
1991-05-21,35.411865,33.860413,33.514954,34.83368,35.27234
1991-05-22,35.177765,32.717987,32.883057,33.145416,34.42984
1991-05-23,33.51822,31.975159,32.65036,33.907135,34.629578
1991-05-24,31.945099,29.809906,32.91223,33.21405,35.02069
1991-05-25,33.21338,32.103546,33.719116,34.7529,34.142273
1991-05-26,32.84857,31.373016,31.479431,32.286438,34.09073
1991-05-27,32.849823,30.226685,30.833282,31.083649,31.301178
1991-05-28,32.151886,29.429993,27.241058,29.733368,30.87738
1991-05-29,31.515717,30.106934,30.118744,31.87555,33.162994
1991-05-30,32.18692,26.581085,30.503021,30.478271,28.597717
1991-05-31,30.919434,28.352905,29.904846,30.544617,31.55597
